,time,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,13.9,59.3,14.9
1,2021-01-01 01:00:00,13.5,57.8,14.8
2,2021-01-01 02:00:00,15.6,55.1,14.3
3,2021-01-01 03:00:00,28.1,61.5,13.2
4,2021-01-01 04:00:00,28.3,56.4,12.4
5,2021-01-01 05:00:00,32.5,54.1,12.1
6,2021-01-01 06:00:00,18.4,56.3,11.5
7,2021-01-01 07:00:00,17.4,55.1,11.2
8,2021-01-01 08:00:00,20.4,53.1,11.1
9,2021-01-01 09:00:00,18.0,44.9,11.7
10,2021-01-01 10:00:00,13.8,39.5,12.9
11,2021-01-01 11:00:00,12.5,37.0,13.9
12,2021-01-01 12:00:00,11.6,30.3,17.2
13,2021-01-01 13:00:00,11.1,27.5,17.6
14,2021-01-01 14:00:00,10.9,27.4,17.9
15,2021-01-01 15:00:00,10.0,27.3,18.2
16,2021-01-01 16:00:00,10.9,28.6,18.3
17,2021-01-01 17:00:00,11.0,30.2,18.1
18,2021-01-01 18:00:00,12.8,33.7,17.5
19,2021-01-01 19:00:00,15.7,36.8,17.0
20,2021-01-01 20:00:00,20.9,40.0,16.7
21,2021-01-01 21:00:00,22.9,40.4,16.6
22,2021-01-01 22:00:00,28.4,43.1,16.1
23,2021-01-01 23:00:00,28.8,47.8,15.4
24,2021-01-02 00:00:00,33.9,50.3,15.0
25,2021-01-02 01:00:00,42.5,50.4,14.3
26,2021-01-02 02:00:00,47.2,58.1,13.8
27,2021-01-02 03:00:00,40.5,63.5,13.2
28,2021-01-02 04:00:00,30.7,65.8,13.1
29,2021-01-02 05:00:00,31.9,66.3,12.9
30,2021-01-02 06:00:00,40.1,65.9,12.3
31,2021-01-02 07:00:00,31.3,65.4,11.8
32,2021-01-02 08:00:00,27.6,61.2,12.0
33,2021-01-02 09:00:00,28.7,61.4,12.7
34,2021-01-02 10:00:00,30.4,56.9,14.0
35,2021-01-02 11:00:00,27.8,51.2,15.3
36,2021-01-02 12:00:00,27.8,41.7,18.6
37,2021-01-02 13:00:00,25.7,39.3,18.9
38,2021-01-02 14:00:00,25.4,39.1,19.2
39,2021-01-02 15:00:00,24.9,38.5,19.5
40,2021-01-02 16:00:00,22.8,38.8,19.5
41,2021-01-02 17:00:00,24.7,40.0,19.5
42,2021-01-02 18:00:00,30.0,43.2,18.6
43,2021-01-02 19:00:00,31.5,44.8,18.1
44,2021-01-02 20:00:00,37.4,47.5,17.8
45,2021-01-02 21:00:00,39.3,48.5,17.3
46,2021-01-02 22:00:00,32.9,53.8,16.2
47,2021-01-02 23:00:00,23.5,58.7,15.6
48,2021-01-03 00:00:00,20.5,63.0,15.4
49,2021-01-03 01:00:00,22.5,67.5,14.9
50,2021-01-03 02:00:00,26.5,69.7,14.3
51,2021-01-03 03:00:00,25.8,73.8,13.6
52,2021-01-03 04:00:00,24.7,74.5,13.7
53,2021-01-03 05:00:00,49.1,72.2,13.5
54,2021-01-03 06:00:00,32.7,70.2,12.5
55,2021-01-03 07:00:00,34.5,69.2,12.4
56,2021-01-03 08:00:00,35.6,67.9,12.9
57,2021-01-03 09:00:00,42.8,67.1,14.0
58,2021-01-03 10:00:00,46.6,66.5,15.0
59,2021-01-03 11:00:00,43.1,60.0,16.3
60,2021-01-03 12:00:00,43.7,53.0,18.3
61,2021-01-03 13:00:00,37.7,51.3,19.1
62,2021-01-03 14:00:00,22.5,46.6,19.8
63,2021-01-03 15:00:00,18.3,46.4,19.2
64,2021-01-03 16:00:00,13.7,47.7,18.6
65,2021-01-03 17:00:00,13.2,47.8,18.2
66,2021-01-03 18:00:00,13.6,49.3,17.9
67,2021-01-03 19:00:00,17.0,52.6,17.7
68,2021-01-03 20:00:00,17.9,54.4,17.6
69,2021-01-03 21:00:00,18.5,55.0,17.7
70,2021-01-03 22:00:00,19.3,54.0,17.7
71,2021-01-03 23:00:00,26.6,53.9,17.3
72,2021-01-04 00:00:00,25.7,54.5,16.7
73,2021-01-04 01:00:00,26.4,54.6,16.6
74,2021-01-04 02:00:00,29.6,55.3,16.5
75,2021-01-04 03:00:00,31.7,57.4,16.3
76,2021-01-04 04:00:00,33.9,60.3,16.2
77,2021-01-04 05:00:00,31.6,61.2,16.2
78,2021-01-04 06:00:00,26.0,63.0,16.1
79,2021-01-04 07:00:00,29.9,62.6,15.8
80,2021-01-04 08:00:00,27.8,62.2,16.1
81,2021-01-04 09:00:00,29.3,58.4,16.6
82,2021-01-04 10:00:00,27.7,52.7,17.4
83,2021-01-04 11:00:00,23.7,46.4,18.3
84,2021-01-04 12:00:00,23.3,43.8,18.9
85,2021-01-04 13:00:00,21.7,42.4,19.8
86,2021-01-04 14:00:00,21.1,41.0,20.6
87,2021-01-04 15:00:00,20.4,41.2,20.9
88,2021-01-04 16:00:00,19.4,42.3,20.7
89,2021-01-04 17:00:00,19.5,43.1,20.5
90,2021-01-04 18:00:00,24.2,45.1,20.3
91,2021-01-04 19:00:00,27.5,47.7,20.0
92,2021-01-04 20:00:00,26.6,51.0,19.1
93,2021-01-04 21:00:00,28.2,54.2,18.6
94,2021-01-04 22:00:00,28.1,55.8,18.2
95,2021-01-04 23:00:00,33.5,59.2,17.7
96,2021-01-05 00:00:00,35.8,60.5,17.7
97,2021-01-05 01:00:00,36.4,61.9,18.1
98,2021-01-05 02:00:00,36.2,65.5,18.1
99,2021-01-05 03:00:00,34.1,68.0,17.9
100,2021-01-05 04:00:00,36.8,70.2,17.5
101,2021-01-05 05:00:00,40.2,70.3,17.6
102,2021-01-05 06:00:00,51.9,70.8,17.2
103,2021-01-05 07:00:00,43.1,71.0,17.0
104,2021-01-05 08:00:00,38.9,68.2,17.1
105,2021-01-05 09:00:00,53.9,70.3,17.6
106,2021-01-05 10:00:00,47.1,67.2,18.0
107,2021-01-05 11:00:00,44.9,62.8,18.9
108,2021-01-05 12:00:00,42.9,61.5,19.5
109,2021-01-05 13:00:00,44.2,61.3,20.0
110,2021-01-05 14:00:00,42.2,61.2,20.1
111,2021-01-05 15:00:00,40.8,61.4,19.8
112,2021-01-05 16:00:00,45.0,62.4,19.7
