,time,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,64.7,60.2,14.3
1,2021-01-01 01:00:00,72.1,59.3,14.0
2,2021-01-01 02:00:00,78.91,58.2,13.3
3,2021-01-01 03:00:00,120.27,63.4,12.5
4,2021-01-01 04:00:00,129.24,59.0,12.0
5,2021-01-01 05:00:00,110.03,59.8,11.3
6,2021-01-01 06:00:00,67.98,60.6,10.7
7,2021-01-01 07:00:00,78.6,59.7,10.5
8,2021-01-01 08:00:00,80.0,55.3,10.9
9,2021-01-01 09:00:00,63.3,45.1,12.2
10,2021-01-01 10:00:00,48.7,38.1,13.4
11,2021-01-01 11:00:00,51.5,35.5,14.5
12,2021-01-01 12:00:00,54.6,32.8,15.5
13,2021-01-01 13:00:00,45.6,28.9,16.3
14,2021-01-01 14:00:00,45.4,28.2,16.9
15,2021-01-01 15:00:00,39.144242681950274,28.32744146327266,18.917967397436367
16,2021-01-01 16:00:00,47.4,29.5,17.5
17,2021-01-01 17:00:00,50.3,31.0,17.1
18,2021-01-01 18:00:00,59.8,33.5,16.5
19,2021-01-01 19:00:00,69.7,36.3,16.0
20,2021-01-01 20:00:00,102.4,43.2,15.7
21,2021-01-01 21:00:00,120.4,44.0,15.4
22,2021-01-01 22:00:00,134.5,46.8,15.1
23,2021-01-01 23:00:00,139.5,49.7,14.8
24,2021-01-02 00:00:00,162.98,51.8,14.1
25,2021-01-02 01:00:00,216.58,53.3,13.5
26,2021-01-02 02:00:00,224.31,60.9,13.0
27,2021-01-02 03:00:00,186.28,66.4,12.5
28,2021-01-02 04:00:00,138.21,68.0,12.3
29,2021-01-02 05:00:00,170.71,70.1,11.9
30,2021-01-02 06:00:00,178.82,71.8,11.1
31,2021-01-02 07:00:00,139.5,69.2,10.8
32,2021-01-02 08:00:00,136.05,66.5,11.4
33,2021-01-02 09:00:00,139.8,64.9,12.6
34,2021-01-02 10:00:00,150.17,60.3,14.2
35,2021-01-02 11:00:00,147.5,51.8,15.5
36,2021-01-02 12:00:00,118.0,45.8,16.6
37,2021-01-02 13:00:00,105.0,41.1,17.6
38,2021-01-02 14:00:00,100.2,40.8,18.4
39,2021-01-02 15:00:00,93.9,39.4,18.6
40,2021-01-02 16:00:00,108.5,40.0,18.6
41,2021-01-02 17:00:00,120.8,41.8,18.2
42,2021-01-02 18:00:00,153.2,44.9,17.4
43,2021-01-02 19:00:00,159.3,46.8,16.9
44,2021-01-02 20:00:00,182.46,50.9,16.3
45,2021-01-02 21:00:00,190.22,51.5,16.0
46,2021-01-02 22:00:00,156.36,55.8,15.4
47,2021-01-02 23:00:00,116.07,61.0,14.9
48,2021-01-03 00:00:00,96.58,65.2,14.7
49,2021-01-03 01:00:00,121.53,71.6,13.8
50,2021-01-03 02:00:00,131.15,73.6,13.3
51,2021-01-03 03:00:00,121.27,77.0,12.9
52,2021-01-03 04:00:00,118.01,77.6,12.9
53,2021-01-03 05:00:00,215.81,75.0,12.3
54,2021-01-03 06:00:00,133.95,74.1,11.6
55,2021-01-03 07:00:00,154.06,72.9,11.6
56,2021-01-03 08:00:00,152.31,69.4,12.7
57,2021-01-03 09:00:00,168.82,68.5,13.9
58,2021-01-03 10:00:00,183.59,67.5,15.0
59,2021-01-03 11:00:00,179.15,61.1,16.5
60,2021-01-03 12:00:00,175.63,53.8,17.9
61,2021-01-03 13:00:00,168.3,51.7,18.7
62,2021-01-03 14:00:00,96.2,47.0,19.3
63,2021-01-03 15:00:00,91.6,48.2,18.5
64,2021-01-03 16:00:00,83.7,49.6,17.8
65,2021-01-03 17:00:00,71.0,49.2,17.3
66,2021-01-03 18:00:00,83.51,51.9,16.9
67,2021-01-03 19:00:00,98.99,55.1,16.8
68,2021-01-03 20:00:00,94.94,57.4,16.7
69,2021-01-03 21:00:00,97.9,57.5,16.7
70,2021-01-03 22:00:00,109.99,56.2,16.6
71,2021-01-03 23:00:00,125.27,56.6,16.4
72,2021-01-04 00:00:00,127.92,56.8,16.2
73,2021-01-04 01:00:00,159.75,57.5,16.1
74,2021-01-04 02:00:00,157.36,56.8,16.1
75,2021-01-04 03:00:00,135.11,58.4,16.0
76,2021-01-04 04:00:00,156.13,61.1,15.9
77,2021-01-04 05:00:00,150.97,63.6,15.8
78,2021-01-04 06:00:00,127.37,65.0,15.5
79,2021-01-04 07:00:00,133.34,65.2,15.3
80,2021-01-04 08:00:00,140.79,64.4,15.5
81,2021-01-04 09:00:00,147.94,60.9,16.3
82,2021-01-04 10:00:00,134.82,53.9,17.1
83,2021-01-04 11:00:00,114.5,46.5,18.1
84,2021-01-04 12:00:00,114.5,44.2,18.7
85,2021-01-04 13:00:00,109.6,42.8,19.4
86,2021-01-04 14:00:00,108.1,42.1,20.1
87,2021-01-04 15:00:00,105.3,42.9,20.1
88,2021-01-04 16:00:00,103.6,43.4,20.1
89,2021-01-04 17:00:00,113.3,44.6,19.7
90,2021-01-04 18:00:00,146.6,47.3,19.3
91,2021-01-04 19:00:00,166.9,49.4,18.9
92,2021-01-04 20:00:00,183.28,53.4,18.2
93,2021-01-04 21:00:00,178.77,55.8,17.7
94,2021-01-04 22:00:00,190.9,58.8,17.3
95,2021-01-04 23:00:00,225.07,61.3,17.1
96,2021-01-05 00:00:00,233.6,63.8,17.1
97,2021-01-05 01:00:00,241.91,64.8,17.5
98,2021-01-05 02:00:00,244.5,66.9,17.3
99,2021-01-05 03:00:00,214.47,70.7,17.0
100,2021-01-05 04:00:00,240.57,72.5,16.8
101,2021-01-05 05:00:00,270.41,74.6,16.5
102,2021-01-05 06:00:00,272.98,74.3,16.3
103,2021-01-05 07:00:00,213.96,72.9,16.3
104,2021-01-05 08:00:00,196.54,69.8,16.7
105,2021-01-05 09:00:00,268.74,72.8,17.0
106,2021-01-05 10:00:00,243.35,70.0,17.5
107,2021-01-05 11:00:00,236.19,65.1,18.4
108,2021-01-05 12:00:00,247.99,63.3,19.0
109,2021-01-05 13:00:00,258.86,63.4,19.3
110,2021-01-05 14:00:00,248.55,63.3,19.3
111,2021-01-05 15:00:00,242.96,63.2,19.3
112,2021-01-05 16:00:00,234.69,64.1,19.1
113,2021-01-05 17:00:00,183.57,65.3,19.0
114,2021-01-05 18:00:00,149.99,66.0,18.8
115,2021-01-05 19:00:00,144.11,66.6,18.7
116,2021-01-05 20:00:00,132.29,68.7,18.4
117,2021-01-05 21:00:00,125.63,70.0,18.3
118,2021-01-05 22:00:00,124.98,71.2,18.1
119,2021-01-05 23:00:00,128.44,73.7,17.7
120,2021-01-06 00:00:00,121.37,76.0,17.4
121,2021-01-06 01:00:00,115.93,77.2,17.0
122,2021-01-06 02:00:00,112.66,76.2,16.8
123,2021-01-06 03:00:00,115.49,76.0,16.6
124,2021-01-06 04:00:00,117.67,75.5,16.3
125,2021-01-06 05:00:00,112.6,75.5,16.1
126,2021-01-06 06:00:00,111.19,75.2,16.1
127,2021-01-06 07:00:00,116.73,75.2,16.1
128,2021-01-06 08:00:00,120.44,73.4,16.3
129,2021-01-06 09:00:00,118.76,71.4,16.6
130,2021-01-06 10:00:00,115.15,69.2,16.8
131,2021-01-06 11:00:00,109.93,66.2,17.1
132,2021-01-06 12:00:00,119.68,67.4,17.1
133,2021-01-06 13:00:00,131.6,68.3,17.3
134,2021-01-06 14:00:00,125.96,67.6,17.4
135,2021-01-06 15:00:00,126.06,65.8,17.8
136,2021-01-06 16:00:00,133.59,66.1,17.7
137,2021-01-06 17:00:00,137.8,67.5,17.4
138,2021-01-06 18:00:00,134.57,69.4,17.1
139,2021-01-06 19:00:00,142.08,70.1,16.9
140,2021-01-06 20:00:00,161.07,71.8,16.8
141,2021-01-06 21:00:00,176.33,73.2,16.8
142,2021-01-06 22:00:00,173.21,74.5,16.6
143,2021-01-06 23:00:00,159.81,74.8,16.5
144,2021-01-07 00:00:00,160.0,74.1,16.5
145,2021-01-07 01:00:00,163.6,72.5,16.5
146,2021-01-07 02:00:00,171.93,74.5,16.2
147,2021-01-07 03:00:00,160.85,75.0,16.0
148,2021-01-07 04:00:00,153.61,75.2,15.8
149,2021-01-07 05:00:00,177.05,74.2,15.7
150,2021-01-07 06:00:00,159.12,70.8,15.5
151,2021-01-07 07:00:00,138.54,70.9,15.1
152,2021-01-07 08:00:00,145.06,78.1,14.0
153,2021-01-07 09:00:00,134.6,80.7,13.4
154,2021-01-07 10:00:00,114.94,77.4,13.5
155,2021-01-07 11:00:00,100.8,75.7,13.7
156,2021-01-07 12:00:00,73.54,72.8,14.1
157,2021-01-07 13:00:00,60.24,69.4,14.5
158,2021-01-07 14:00:00,71.8,68.0,14.6
159,2021-01-07 15:00:00,60.9,67.6,14.6
160,2021-01-07 16:00:00,55.6,68.6,14.1
161,2021-01-07 17:00:00,57.5,69.6,13.8
162,2021-01-07 18:00:00,60.1,70.8,13.6
163,2021-01-07 19:00:00,60.1,72.7,13.3
164,2021-01-07 20:00:00,63.8,73.3,13.0
165,2021-01-07 21:00:00,53.3,73.6,12.9
166,2021-01-07 22:00:00,41.8,75.1,12.5
167,2021-01-07 23:00:00,41.3,74.9,12.4
168,2021-01-08 00:00:00,27.2,75.6,12.0
169,2021-01-08 01:00:00,27.4,76.7,11.7
170,2021-01-08 02:00:00,29.6,73.2,11.7
171,2021-01-08 03:00:00,28.5,70.1,11.6
172,2021-01-08 04:00:00,12.0,69.3,11.2
173,2021-01-08 05:00:00,10.3,68.7,10.8
